,GDP
1997-01-01,1146254
1997-02-01,1153493
1997-03-01,1153375
1997-04-01,1161196
1997-05-01,1165328
1997-06-01,1167533
1997-07-01,1180084
1997-08-01,1181545
1997-09-01,1183552
1997-10-01,1188123
1997-11-01,1189010
1997-12-01,1199780
1998-01-01,1194652
1998-02-01,1206119
1998-03-01,1210426
1998-04-01,1211089
1998-05-01,1208910
1998-06-01,1208629
1998-07-01,1208265
1998-08-01,1219916
1998-09-01,1223880
1998-10-01,1229462
1998-11-01,1232739
1998-12-01,1244188
1999-01-01,1248407
1999-02-01,1254446
1999-03-01,1254755
1999-04-01,1263262
1999-05-01,1265346
1999-06-01,1274003
1999-07-01,1280993
1999-08-01,1287461
1999-09-01,1295922
1999-10-01,1299607
1999-11-01,1310326
1999-12-01,1318934
2000-01-01,1325658
2000-02-01,1325888
2000-03-01,1336931
2000-04-01,1335504
2000-05-01,1343064
2000-06-01,1348065
2000-07-01,1351075
2000-08-01,1356048
2000-09-01,1358502
2000-10-01,1361067
2000-11-01,1362013
2000-12-01,1365443
2001-01-01,1365514
2001-02-01,1365069
2001-03-01,1365858
2001-04-01,1364619
2001-05-01,1370407
2001-06-01,1369240
2001-07-01,1367204
2001-08-01,1371749
2001-09-01,1364366
2001-10-01,1370585
2001-11-01,1379396
2001-12-01,1377902
2002-01-01,1392802
2002-02-01,1400429
2002-03-01,1399019
2002-04-01,1408942
2002-05-01,1411041
2002-06-01,1412654
2002-07-01,1418178
2002-08-01,1423503
2002-09-01,1420254
2002-10-01,1428810
2002-11-01,1428139
2002-12-01,1423817
2003-01-01,1431160
2003-02-01,1434888
2003-03-01,1433364
2003-04-01,1428575
2003-05-01,1432670
2003-06-01,1436792
2003-07-01,1444125
2003-08-01,1430151
2003-09-01,1447621
2003-10-01,1453840
2003-11-01,1455337
2003-12-01,1461488
2004-01-01,1464152
2004-02-01,1463305
2004-03-01,1476416
2004-04-01,1480256
2004-05-01,1481764
2004-06-01,1489057
2004-07-01,1490489
2004-08-01,1496855
2004-09-01,1501096
2004-10-01,1501618
2004-11-01,1507285
2004-12-01,1507620
2005-01-01,1514960
2005-02-01,1516009
2005-03-01,1510876
2005-04-01,1522079
2005-05-01,1528603
2005-06-01,1533199
2005-07-01,1537159
2005-08-01,1542983
2005-09-01,1544269
2005-10-01,1549474
2005-11-01,1557964
2005-12-01,1566198
2006-01-01,1570036
2006-02-01,1573552
2006-03-01,1577153
2006-04-01,1577442
2006-05-01,1578059
2006-06-01,1575416
2006-07-01,1578273
2006-08-01,1579408
2006-09-01,1577137
2006-10-01,1579661
2006-11-01,1583186
2006-12-01,1593220
2007-01-01,1589916
2007-02-01,1597824
2007-03-01,1601283
2007-04-01,1603425
2007-05-01,1610464
2007-06-01,1615014
2007-07-01,1614681
2007-08-01,1619358
2007-09-01,1616522
2007-10-01,1617956
2007-11-01,1619351
2007-12-01,1613074
2008-01-01,1619678
2008-02-01,1616737
2008-03-01,1619632
2008-04-01,1623011
2008-05-01,1622950
2008-06-01,1626157
2008-07-01,1633235
2008-08-01,1631956
2008-09-01,1632320
2008-10-01,1630551
2008-11-01,1614127
2008-12-01,1591987
2009-01-01,1584341
2009-02-01,1576119
2009-03-01,1563343
2009-04-01,1558296
2009-05-01,1556689
2009-06-01,1558532
2009-07-01,1561083
2009-08-01,1560446
2009-09-01,1572192
2009-10-01,1573879
2009-11-01,1583102
2009-12-01,1587706
2010-01-01,1597519
2010-02-01,1605865
2010-03-01,1613597
2010-04-01,1611635
2010-05-01,1618686
2010-06-01,1622883
2010-07-01,1625143
2010-08-01,1630031
2010-09-01,1629843
2010-10-01,1638232
2010-11-01,1645952
2010-12-01,1657377
2011-01-01,1662768
2011-02-01,1659773
2011-03-01,1664906
2011-04-01,1665169
2011-05-01,1661580
2011-06-01,1668949
2011-07-01,1680498
2011-08-01,1689080
2011-09-01,1693895
2011-10-01,1693809
2011-11-01,1695694
2011-12-01,1703826
2012-01-01,1702312
2012-02-01,1697912
2012-03-01,1702210
2012-04-01,1708110
2012-05-01,1710842
2012-06-01,1711716
2012-07-01,1715089
2012-08-01,1712835
2012-09-01,1712611
2012-10-01,1711824
2012-11-01,1719965
2012-12-01,1719763
2013-01-01,1729586
2013-02-01,1734805
2013-03-01,1740839
2013-04-01,1743937
2013-05-01,1748724
2013-06-01,1742396
2013-07-01,1752447
2013-08-01,1760130
2013-09-01,1766098
2013-10-01,1775606
2013-11-01,1779954
2013-12-01,1772541
2014-01-01,1773250
2014-02-01,1782226
2014-03-01,1787024
2014-04-01,1790684
2014-05-01,1802034
2014-06-01,1810319
2014-07-01,1812914
2014-08-01,1809135
2014-09-01,1816399
2014-10-01,1821619
2014-11-01,1822817
2014-12-01,1825584
2015-01-01,1817974
2015-02-01,1815506
2015-03-01,1814460
2015-04-01,1813921
2015-05-01,1812920
2015-06-01,1817855
2015-07-01,1822436
2015-08-01,1826294
2015-09-01,1818765
2015-10-01,1820488
2015-11-01,1824776
2015-12-01,1826829
2016-01-01,1837860
2016-02-01,1832584
2016-03-01,1825855
2016-04-01,1830002
2016-05-01,1819666
2016-06-01,1828411
2016-07-01,1839206
2016-08-01,1843452
2016-09-01,1848118
2016-10-01,1847038
2016-11-01,1853836
2016-12-01,1858876
2017-01-01,1868964
2017-02-01,1873773
2017-03-01,1881584
2017-04-01,1888758
2017-05-01,1896042
2017-06-01,1899612
2017-07-01,1900773
2017-08-01,1899358
2017-09-01,1902497
2017-10-01,1905137
2017-11-01,1913640
2017-12-01,1920686
2018-01-01,1919623
2018-02-01,1927189
2018-03-01,1932480
2018-04-01,1932577
2018-05-01,1944258
2018-06-01,1946207
2018-07-01,1952354
2018-08-01,1954079
2018-09-01,1955253
2018-10-01,1961308
2018-11-01,1957862
2018-12-01,1956990
2019-01-01,1958988
2019-02-01,1954720
2019-03-01,1967722
2019-04-01,1976034
2019-05-01,1981882
2019-06-01,1986301
2019-07-01,1986641
2019-08-01,1985761
2019-09-01,1987927
2019-10-01,1989460
2019-11-01,1990238
2019-12-01,1995370
